code	description	type
A00	Cholera	icd10
A000	Cholera due to Vibrio cholerae 01, biovar cholerae	icd10
A001	Cholera due to Vibrio cholerae 01, biovar eltor	icd10
A009	Cholera, unspecified	icd10
A01	Typhoid and paratyphoid fevers	icd10
A010	Typhoid fever	icd10
A011	Paratyphoid fever A	icd10
A012	Paratyphoid fever B	icd10
A013	Paratyphoid fever C	icd10
A014	Paratyphoid fever, unspecified	icd10
A02	Other salmonella infections	icd10
A020	Salmonella enteritis	icd10
A021	Salmonella sepsis	icd10
A022	Localized salmonella infections	icd10
A028	Other specified salmonella infections	icd10
A029	Salmonella infection, unspecified	icd10
A03	Shigellosis	icd10
A030	Shigellosis due to Shigella dysenteriae	icd10
A031	Shigellosis due to Shigella flexneri	icd10
A032	Shigellosis due to Shigella boydii	icd10
A033	Shigellosis due to Shigella sonnei	icd10
A038	Other shigellosis	icd10
A039	Shigellosis, unspecified	icd10
A04	Other bacterial intestinal infections	icd10
A040	Enteropathogenic Escherichia coli infection	icd10
A041	Enterotoxigenic Escherichia coli infection	icd10
A042	Enteroinvasive Escherichia coli infection	icd10
A043	Enterohaemorrhagic Escherichia coli infection	icd10
A044	Other intestinal Escherichia coli infections	icd10
A045	Campylobacter enteritis	icd10
A046	Enteritis due to Yersinia enterocolitica	icd10
A047	Enterocolitis due to Clostridium difficile	icd10
A048	Other specified bacterial intestinal infections	icd10
A049	Bacterial intestinal infection, unspecified	icd10
A05	Other bacterial foodborne intoxications, not elsewhere classified	icd10
A050	Foodborne staphylococcal intoxication	icd10
A051	Botulism	icd10
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	icd10
A053	Foodborne Vibrio parahaemolyticus intoxication	icd10
A054	Foodborne Bacillus cereus intoxication	icd10
A058	Other specified bacterial foodborne intoxications	icd10
A059	Bacterial foodborne intoxication, unspecified	icd10
A06	Amoebiasis	icd10
A060	Acute amoebic dysentery	icd10
A061	Chronic intestinal amoebiasis	icd10
A062	Amoebic nondysenteric colitis	icd10
A063	Amoeboma of intestine	icd10
A064	Amoebic liver abscess	icd10
A065	Amoebic lung abscess	icd10
A066	Amoebic brain abscess	icd10
A067	Cutaneous amoebiasis	icd10
A068	Amoebic infection of other sites	icd10
A069	Amoebiasis, unspecified	icd10
A07	Other protozoal intestinal diseases	icd10
A070	Balantidiasis	icd10
A071	Giardiasis [lambliasis]	icd10
A072	Cryptosporidiosis	icd10
A073	Isosporiasis	icd10
A078	Other specified protozoal intestinal diseases	icd10
A079	Protozoal intestinal disease, unspecified	icd10
A08	Viral and other specified intestinal infections	icd10
A080	Rotaviral enteritis	icd10
A081	Acute gastroenteropathy due to Norovirus	icd10
A082	Adenoviral enteritis	icd10
A083	Other viral enteritis	icd10
A084	Viral intestinal infection, unspecified	icd10
A085	Other specified intestinal infections	icd10
A09	Other gastroenteritis and colitis of infectious and unspecified origin	icd10
A090	Other and unspecified gastroenteritis and colitis of infectious origin	icd10
A099	Gastroenteritis and colitis of unspecified origin	icd10
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	icd10
A150	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	icd10
A151	Tuberculosis of lung, confirmed by culture only	icd10
A152	Tuberculosis of lung, confirmed histologically	icd10
A153	Tuberculosis of lung, confirmed by unspecified means	icd10
A154	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically	icd10
A155	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically	icd10
A156	Tuberculous pleurisy, confirmed bacteriologically and histologically	icd10
